Latitude 	Longtitude	City 	State	Temp	Elevation	Nearest.Sea	Population.Density
46°52′11″N	68°00′09″W	Caribou	ME	39.65	449	95	96.9
45°39′32″N	68°42′29″W	Millinocket	ME	41.45	371	76	811
44°17′03″N	75°59′10″W	Lake Placid	NY	42.15	1801	182	1761
44°15′39″N	72°34′24″W	Montpelier	VE	43.2	525	120	744
44°19′59″N	69°47′08″W	Augusta	ME	45.65	125	18	337
43°47′27″N	74°16′06″W	Indian Lake	NY	40.6	1706	174	5
43°09′28″N	77°36′33″W	Rochester	NY	48.4	505	227	5806
43°39′43″N	70°15′53″W	Portland	ME	46.4	62	0	3139
43°39′43″N	70°15′53″W	Pittsfield	MA	45.25	1001	83	1052
42°27′38″N	73°14′58″W	Worcester	MA	47.8	482	39	4968
42°21′56″N	71°03′43″W	Boston	MA	51.4	46	0	14191
41°14′28″N	77°02′18″W	Williamsport	PA	51.45	518	127	3260
41°46′21″N	72°40′27″W	Hartford	CT	49.8	56	34	7100
41°49′24″N	71°24′58″W	Providence	RI	51.5	7	0	9804
40°31′08″N	78°23′49″W	Altoona	PA	49	1165	129	4451
40°16′08″N	76°52′55″W	Harrisburg	PA	53.5	335	66	6051
40°45′49″N	73°59′13″W	New York	NY	55.15	33	0	28491
39°38′16″N	79°57′16″W	Morgantown	WV	52.25	889	162	3004
39°50′06″N	77°13′58″W	Gettysburg	PA	52.55	531	52	4595
39°17′53″N	76°37′02″W	Baltimore	MD	58.45	33	0	7556
38°21′10″N	81°38′00″W	Charleston	WV	55.7	597	234	1521
38°02′00″N	78°28′34″W	Charlottesville	VA	57.1	466	67	4690
38°54′06″N	77°02′02″W	Washington, D.C.	DC	55.7	23	0	11368
37°14′17″N	80°24′57″W	Blacksburg	VA	51.5	2077	176	2240
37°16′20″N	79°56′24″W	Roanoke	VA	56.95	935	150	2346
37°32′24″N	77°26′12″W	Richmond	VA	58.75	210	19	3796
36°09′49″N	82°49′53″W	Greeneville	TN	56.45	1519	276	875
36°04′30″N	79°47′27″W	Greensboro	NC	59.05	873	161	2294
36°50′59″N	75°59′14″W	Virginia Beach	VA	60.6	9.8	0	1809
35°13′46″N	80°50′29″W	Charlotte	NC	59.8	751	153	2886
35°03′00″N	85°18′39″W	Chattanooga	TN	60.85	676	309	1306
35°46′47″N	78°38′18″W	Raleigh	NC	60.8	315	92	3252
34°11′48″N	82°09′44″W	Greenwood	SC	60.2	663	138	1433
34°37′17″N	79°00′31″W	Lumberton 	NC	61.85	131	57	1176
34°12′44″N	77°53′17″W	Wilmington	NC	64	30	0	2312
33°45′11″N	84°23′17″W	Atlanta	GA	62.55	1050	225	3652
33°57′16″N	83°21′34″W	Athens	GA	62.4	784	177	1080
33°28′14″N	82°00′02″W	Augusta	GA	63.85	131	93	652
32°50′06″N	83°38′06″W	Macon	GA	64.45	367	162	2740
32°27′55″N	84°59′09″W	Columbus	GA	65.6	243	90	897
32°47′12″N	79°56′09″W	Charleston	SC	65.85	20	0	1238
32°04′35″N	81°05′34″W	Savannah	GA	66.8	20	0	1420
31°42′55″N	83°15′08″W	Fitzgerald	GA	65.85	361	112	985
31°34′44″N	84°09′21″W	Albany 	GA	66.1	203	101	1328
31°09′05″N	81°29′29″W	Brunswick	GA	68	10	0	954
30°50′00″N	83°16′44″W	Valdosta	GA	67	220	68	1565
30°26′24″N	84°16′52″W	Tallahassee	FL	67.6	203	24	1906
30°19′42″N	81°39′25″W	Jacksonville	FL	67.9	16	0	1194
29°39′13″N	82°19′28″W	Gainesville	FL	68.7	177	45	2157
29°35′06″N	81°12′29″W	Palm Coast	FL	69.35	3	0	963
28°31′49″N	81°23′00″W	Orlando	FL	73.35	98	35	2737
28°36′42″N	80°48′36″W	Titusville	FL	73	10	0	1575
27°35′50″N	81°30′23″W	Avon Park	FL	72.6	151	54	1455
27°56′59″N	82°27′26″W	Tampa	FL	73.35	3	0	3399
25°45′45″N	80°11′31″W	Miami	FL	77.05	7	0	12917
